Property,0
1985,871.855
1986,737.542
1987,603.228
1988,96.801
1989,138.818
1990,180.834
1991,222.85
1992,264.867
1993,306.883
1994,348.9
1995,390.916
1996,432.933
1997,292.552
1998,354.378
1999,374.701
2000,395.023
2001,415.345
2002,435.667
2003,455.989
2004,476.312
2005,496.634
2006,516.956
2007,537.278
2008,557.601
2009,577.923
2010,598.245
2011,618.567
2012,638.89
2013,659.212
2014,679.534
2015,699.856
2016,720.178
2017,740.501
