1985, 685.5904036717415
1986, 674.2612179514222
1987, 662.4364419549432
1988, 552.9646868752623
1989, 549.036921134834
1990, 552.7539542659861
1991, 557.0481132967883
1992, 562.1140574908007
1993, 566.7336409827476
1994, 571.9269206304284
1995, 577.4293358167668
1996, 581.5599041066662
1997, 585.5082314701499
1998, 590.3847956054631
1999, 593.7994827306792
2000, 598.5515240637616
2001, 603.1780461398077
2002, 605.5555674053401
2003, 600.4903960475973
2004, 606.107053244312
2005, 612.0873566143536
2006, 617.2408385911801
2007, 620.7950194212734
2008, 587.5196300395602
2009, 270.9450663905439
2010, 311.7844795621338
2011, 356.85115397616244
2012, 394.0325134620928
2013, 422.7195438884565
2014, 448.44318570583937
2015, 469.9376316504539
2016, 495.2386422219848
2017, 511.68780006807395
