1985, 603.2594126065072
1986, 588.7565473107189
1987, 571.8278576561511
1988, 434.7140177319646
1989, 448.84555607575595
1990, 464.8130443143628
1991, 477.80819878256676
1992, 488.499975698334
1993, 496.3199062310152
1994, 466.2817140735542
1995, 457.843109848885
1996, 465.32400195423276
1997, 474.9014831282772
1998, 482.20648005182437
1999, 486.56225260477277
2000, 491.0480886688334
2001, 495.7275465790849
2002, 500.1885360223042
2003, 505.0245038179433
2004, 509.9340905754713
2005, 514.979686397567
2006, 519.7361565041364
2007, 524.6812107312074
2008, 529.3197513504928
2009, 533.9113168998916
2010, 538.8177945571836
2011, 543.5779406233605
2012, 548.0186583147718
2013, 552.3587888118669
2014, 556.6963523901975
2015, 561.0653315989166
2016, 565.5105588909939
2017, 569.279901012019
