system:index,AvGTemp,AvGppt,CWD,Conifer2019,ConiferProb2019,NLCD2016,SAP_SC,SAP_burn,SUID,SolarLoad,aspect,burnSev,eastness,elevation,forestType,landfire2016,latitude_209564535,longitude_209564535,northness,plantedEver,plantedFirst6Yrs,slope,wilderness,.geo
19,12.44875,1235.05,595.5133,0.0,39.999996,42.0,0.016274864,0.2585895,5.05544348E17,89.0,14.88943,3.0,0.25695452,858.0,551.0,7043.0,,,0.9664235,1.0,0.0,30.381237,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921374085176,41.217367947157726]}"
20,12.44875,1235.05,602.78,0.0,32.0,42.0,0.016274864,0.278481,5.05544348E17,89.0,3.8028834,4.0,0.066324115,854.0,549.0,7043.0,,,0.99779814,1.0,0.0,32.98114,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885585505092,41.21736881433882]}"
21,12.44875,1235.05,602.78,0.0,32.0,42.0,0.016274864,0.29475588,5.05544348E17,89.0,358.0477,4.0,-0.034067634,856.0,551.0,7043.0,,,0.9994195,1.0,0.0,32.28018,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27849796923445,41.21736968040772]}"
22,12.44875,1235.05,602.78,1.0,99.0,42.0,0.016274864,0.30379745,5.05544348E17,116.0,338.0579,3.0,-0.37366956,858.0,551.0,7043.0,,,0.9275619,1.0,0.0,29.938269,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814008340239,41.21737054536439]}"
23,12.44875,1235.05,602.78,1.0,100.0,42.0,0.018083183,0.31103075,5.05544348E17,116.0,319.48212,4.0,-0.64968526,865.0,551.0,7043.0,,,0.7602033,1.0,1.0,30.804752,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778219755471,41.217371409208866]}"
24,12.44875,1235.05,602.78,1.0,100.0,42.0,0.018083183,0.31283906,5.05544348E17,131.0,311.8442,4.0,-0.7449615,876.0,551.0,7043.0,,,0.66710746,1.0,1.0,31.24269,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742431169149,41.217372271941116]}"
25,12.44875,1235.05,602.78,1.0,100.0,42.0,0.018083183,0.31464738,5.05544348E17,131.0,303.00934,3.0,-0.83858186,899.0,551.0,7043.0,,,0.54477555,1.0,0.0,29.448065,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2770664258127,41.21737313356115]}"
26,12.44875,1235.05,602.78,1.0,99.0,42.0,0.018083183,0.3164557,5.05544348E17,138.0,308.4497,4.0,-0.7831544,908.0,552.0,7043.0,,,0.62182724,1.0,0.0,26.317879,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670853991842,41.21737399406898]}"
27,12.44875,1235.05,602.78,1.0,99.0,52.0,0.02169982,0.318264,5.05544348E17,138.0,312.59457,4.0,-0.73616123,917.0,551.0,7030.0,,,0.6768062,1.0,0.0,27.753048,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2763506540086,41.21737485346461]}"
28,12.44875,1235.05,602.78,0.0,6.999999,52.0,0.025316456,0.31283906,5.05544348E17,138.0,319.07452,4.0,-0.65507704,926.0,551.0,7027.0,,,0.7555621,1.0,0.0,26.232718,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599276808331,41.217375711748026]}"
29,12.44875,1235.05,609.2933,0.0,31.0,21.0,0.050632913,0.318264,5.05544348E17,159.0,121.432175,4.0,0.8532581,866.0,551.0,7043.0,,,-0.52148885,1.0,1.0,21.97599,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27277179406204,41.21738338624924]}"
30,12.44875,1235.05,595.5133,1.0,100.0,42.0,0.01084991,0.17359856,5.05544348E17,110.0,327.10764,4.0,-0.5430624,841.0,551.0,7043.0,,,0.83969235,1.0,0.0,35.500034,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064643899148,41.21763470100083]}"
31,12.44875,1235.05,595.5133,1.0,95.0,42.0,0.0144665465,0.18625678,5.05544348E17,110.0,329.9083,4.0,-0.5013854,850.0,551.0,7043.0,,,0.86522406,1.0,0.0,36.116894,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2802885517804,41.217635572639004]}"
32,12.44875,1235.05,595.5133,1.0,88.0,42.0,0.016274864,0.20433997,5.05544348E17,74.0,342.71707,4.0,-0.2970903,858.0,551.0,7043.0,,,0.95484936,1.0,0.0,38.547882,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27993066455362,41.21763644316495]}"
33,12.44875,1235.05,595.5133,1.0,88.0,42.0,0.016274864,0.22242315,5.05544348E17,74.0,5.991451,4.0,0.10438007,861.0,551.0,7043.0,,,0.9945375,1.0,0.0,31.737368,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957277731113,41.21763731257869]}"
