system:index,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,FIRE_YEAR,FireID,JanTMinF1,JanTMinF2,JanTMinF3,JanTMinF4,JanTMinF5,JulTMaxF1,JulTMaxF2,JulTMaxF3,JulTMaxF4,JulTMaxF5,NLCD1992,NLCD2001,NLCD2004,NLCD2006,NLCD2008,NLCD2011,NLCD2013,NLCD2016,TCC2000,TCC2005,TCC2010,WID,WSpptF1,WSpptF2,WSpptF3,WSpptF4,WSpptF5,aspect,b1,burnSev,clusterID,distance,eastness,elevation,facts1987,facts1988,facts1989,facts1990,facts1991,facts1992,facts1993,facts1994,facts1995,facts1996,facts1997,facts1998,facts1999,facts2000,facts2001,facts2002,facts2003,facts2004,facts2005,facts2006,facts2007,facts2008,facts2009,facts2010,facts2011,facts2012,facts2013,facts2014,facts2015,facts2016,facts2017,facts2018,northness,slope,.geo
0_10,631.5003662109375,640.802978515625,650.1055297851562,659.4080810546875,668.7106323242188,678.0132446289062,687.3157958984375,696.6183471679688,705.9209594726562,715.2235107421875,724.5260620117188,733.82861328125,743.1312255859375,752.4337768554688,761.736328125,771.0389404296875,780.3414916992188,780.954345703125,781.5671997070312,782.1800537109375,782.7929077148438,783.40576171875,784.0186157226562,784.6314697265625,785.2443237304688,785.857177734375,786.4700317382812,787.0828857421875,787.6957397460938,788.30859375,788.9214477539062,789.5343017578125,790.1471557617188,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,68,70,69,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,45.292744,559,0,0,0.0,0.7107103856072403,935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7034847175241319,9.791725,
0_11,736.0408935546875,701.3453979492188,666.6498413085938,631.954345703125,597.2587890625,604.2184448242188,611.1781005859375,618.1377563476562,625.097412109375,632.0570678710938,639.0167236328125,645.9763793945312,652.93603515625,659.8956909179688,666.8553466796875,673.8150024414062,680.774658203125,687.7343139648438,694.6939697265625,701.6536865234375,708.6133422851562,715.572998046875,722.5326538085938,729.4923095703125,736.4519653320312,743.41162109375,750.3712768554688,757.3309326171875,764.2905883789062,771.250244140625,778.2098999023438,785.1695556640625,792.1292114257812,1987,0000000000000000335f,-0.31,-1.66,-0.57,0.07,-0.79,35.82,32.06,34.54,35.14,32.73,51,42,42,42,42,42,42,42,72,66,68,0,1133.2999954223633,1133.2999954223633,1133.2999954223633,1133.2999954223633,1133.2999954223633,342.69992,551,0,0,0.0,-0.29737619627204287,934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9547603876841411,13.122891,
0_12,768.8267822265625,770.4605712890625,772.0944213867188,644.5419921875,653.6513671875,662.7608032226562,671.8702392578125,680.9796752929688,690.0890502929688,699.198486328125,708.3079223632812,717.4173583984375,719.12890625,720.8405151367188,722.5521240234375,724.2637329101562,725.9752807617188,727.6868896484375,729.3984985351562,731.110107421875,732.8216552734375,734.5332641601562,736.244873046875,737.9564819335938,739.6680297851562,741.379638671875,743.0912475585938,744.8028564453125,746.514404296875,748.2260131835938,749.9376220703125,751.6492309570312,753.3607788085938,1987,0000000000000000335f,-0.31,-1.66,-0.57,0.07,-0.79,35.82,32.06,34.54,35.14,32.73,42,42,42,42,42,42,42,42,71,67,70,0,1133.2999954223633,1133.2999954223633,1133.2999954223633,1133.2999954223633,1133.2999954223633,326.6202,551,0,0,0.0,-0.550186247449459,948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8350419708718135,14.144717,
0_13,744.1503295898438,748.892578125,753.6348266601562,560.1469116210938,568.2349853515625,576.3231201171875,584.4111938476562,592.499267578125,600.58740234375,608.6754760742188,616.7635498046875,624.8516845703125,632.9397583007812,641.02783203125,649.1159057617188,657.2040405273438,665.2921142578125,673.3801879882812,681.4683227539062,689.556396484375,697.6444702148438,705.7326049804688,713.8206787109375,721.9087524414062,729.996826171875,738.0849609375,746.1730346679688,754.2611083984375,762.3492431640625,770.4373168945312,778.525390625,786.6134643554688,794.7015991210938,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,64,67,69,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,41.069763,551,0,0,0.0,0.6569774747553442,1036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7539102053057055,18.408066,
0_14,735.1919555664062,748.0816650390625,760.971435546875,576.7498779296875,555.8517456054688,534.9536743164062,514.0555419921875,570.5474243164062,576.3248901367188,582.102294921875,587.8797607421875,593.6572265625,599.4346923828125,605.2120971679688,610.9895629882812,616.7670288085938,622.5444946289062,628.3218994140625,634.099365234375,639.8768310546875,645.654296875,651.4317016601562,657.2091674804688,662.9866333007812,666.8052978515625,670.6239624023438,674.442626953125,678.2612915039062,682.0799560546875,685.8986206054688,689.71728515625,693.5360107421875,697.3546752929688,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,65,68,63,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,24.037516,551,0,0,0.0,0.4073347193218598,1026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9132789422925406,16.06796,
0_15,787.9403076171875,783.4879150390625,779.0355834960938,635.4776000976562,637.9393920898438,640.4012451171875,642.8630981445312,645.3248901367188,647.7867431640625,650.2485961914062,652.7103881835938,655.1722412109375,657.6340942382812,660.095947265625,662.5577392578125,665.0195922851562,667.4814453125,669.9432373046875,672.4050903320312,674.866943359375,677.3287353515625,679.7905883789062,682.25244140625,684.7142333984375,687.1760864257812,689.637939453125,692.0997314453125,694.5615844726562,697.0234375,699.4852294921875,701.9470825195312,704.408935546875,706.8707275390625,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,68,69,71,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,32.148273,555,0,0,0.0,0.532112117268964,1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8466739010123912,17.259384,
0_16,692.2787475585938,693.37109375,694.4634399414062,498.0039978027344,509.27593994140625,520.5479125976562,531.81982421875,543.091796875,554.3637084960938,565.6356811523438,576.9075927734375,588.1795654296875,601.6427001953125,610.967041015625,620.2914428710938,629.6157836914062,638.9401245117188,648.2645263671875,657.5888671875,666.9132080078125,676.2376098632812,685.5619506835938,694.8862915039062,704.210693359375,713.5350341796875,722.859375,732.1837768554688,741.5081176757812,750.8324584960938,760.1567993164062,769.481201171875,778.8055419921875,788.1298828125,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,62,60,66,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,10.938827,559,0,0,0.0,0.1897608251455372,995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9818303464652561,17.178347,
0_17,127.61506652832031,248.29931640625,245.03378295898438,241.76824951171875,373.9866027832031,410.51629638671875,447.0460205078125,483.5757141113281,540.4566040039062,597.3374633789062,654.2183837890625,659.7804565429688,665.3425903320312,670.9046630859375,676.466796875,682.0288696289062,687.5909423828125,693.153076171875,698.7151489257812,704.2772827148438,709.83935546875,715.4014892578125,720.9635620117188,726.5256958007812,732.0877685546875,737.6498413085938,743.2119750976562,748.7740478515625,754.336181640625,759.8982543945312,765.4603881835938,771.0224609375,776.5845947265625,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,52,52,42,52,42,52,52,57,64,67,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,319.9481,559,0,0,0.0,-0.6434813877120648,1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7654617584622732,17.047735,
0_18,77.11351776123047,228.40341186523438,379.6933288574219,356.4024963378906,333.1116943359375,483.42938232421875,510.9927062988281,538.5559692382812,566.1193237304688,593.6826171875,621.2459106445312,648.8092041015625,656.80615234375,664.8031005859375,672.800048828125,680.7969970703125,688.7938842773438,696.7908325195312,704.7877807617188,712.7847290039062,720.7816772460938,728.7786254882812,736.7755737304688,744.7725219726562,752.7694702148438,760.7664184570312,768.7633056640625,776.76025390625,784.7572021484375,792.754150390625,800.7510986328125,808.748046875,816.7449951171875,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,63,65,70,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,299.34113,559,0,0,0.0,-0.8717177812407988,1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4900082753062634,18.281336,
0_19,835.88037109375,686.83740234375,537.7944946289062,388.7515869140625,405.4735107421875,422.1954345703125,438.9173583984375,455.6393127441406,472.3612365722656,489.0831604003906,505.8050842285156,522.5270385742188,539.2489624023438,555.9708862304688,572.6928100585938,589.4147338867188,606.1366577148438,622.8585815429688,639.58056640625,656.302490234375,673.0244140625,689.746337890625,706.46826171875,723.190185546875,739.912109375,756.634033203125,773.35595703125,790.0779418945312,806.7998657226562,823.5217895507812,840.2437133789062,856.9656372070312,873.6875610351562,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,41,41,41,41,41,41,41,63,66,66,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,335.37546,559,0,0,0.0,-0.41667021882723665,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090577147477836,5.84622,
