1985, 698.6676614450138
1986, 696.0911173232435
1987, 693.3209538471194
1988, 600.2876125032028
1989, 602.7876584268291
1990, 611.3589415799298
1991, 619.3748211864212
1992, 623.1595341321191
1993, 624.4676111512132
1994, 556.0264851567399
1995, 377.16020427154865
1996, 393.36304187836123
1997, 418.4837453929018
1998, 448.8325959316615
1999, 467.38567088588775
2000, 483.1890059869671
2001, 498.5421042122555
2002, 514.1104896946987
2003, 529.3504975583279
2004, 544.0485770002971
2005, 559.5720463727296
2006, 573.8303458591834
2007, 587.9348180710952
2008, 601.1862878885921
2009, 614.218500208793
2010, 627.745941943853
2011, 640.9960605567742
2012, 653.969902896409
2013, 666.5993886795397
2014, 679.3124180975296
2015, 691.6316218548592
2016, 703.5171436505567
2017, 714.79128154871
