1985, 646.062411310579
1986, 632.2300465228317
1987, 617.543391695398
1988, 464.7581034859932
1989, 474.56013211947106
1990, 489.102257961467
1991, 501.77119362334776
1992, 513.2080187497687
1993, 523.9229313954829
1994, 534.1520058334177
1995, 544.1656917610782
1996, 552.7796646539678
1997, 561.2949469108331
1998, 569.8768292181804
1999, 577.6638240962515
2000, 584.1615081504606
2001, 592.7354583501583
2002, 601.2627466312387
2003, 609.3036016112667
2004, 617.4757690906723
2005, 625.5806088931441
2006, 628.8361545760872
2007, 553.6149594180365
2008, 473.3002843587243
2009, 469.2383297121504
2010, 493.54582028020104
2011, 516.247032171675
2012, 536.3194365173191
2013, 533.2151634489154
2014, 513.1491730903123
2015, 538.0931054423587
2016, 563.5377532037636
2017, 588.972558944397
