1985, 706.7033797010844
1986, 703.7804354836125
1987, 700.7279470066762
1988, 649.3714161589473
1989, 649.9912064302707
1990, 654.5472071715398
1991, 658.6419511846648
1992, 660.642215804713
1993, 660.8378233156185
1994, 627.2011177431799
1995, 512.6127355168074
1996, 509.2475156192238
1997, 518.424533351291
1998, 534.7666578459792
1999, 545.4585681740582
2000, 554.902212469285
2001, 564.3923880148122
2002, 574.7860383895539
2003, 584.8171413078821
2004, 594.7656630514698
2005, 605.1157836546421
2006, 614.5910237797747
2007, 624.3906799336839
2008, 633.4737958986168
2009, 642.4894294125651
2010, 651.7522122719824
2011, 660.9319393717085
2012, 669.8888379266032
2013, 678.5440285482199
2014, 687.3143972132352
2015, 695.9893230943408
2016, 704.2178949055858
2017, 711.967284302130
