1985, 705.7919732800801
1986, 704.3096117017619
1987, 703.1932085146327
1988, 630.6038439052373
1989, 635.1305177245473
1990, 642.848516210283
1991, 648.660734335108
1992, 650.4880729221444
1993, 651.0968091271725
1994, 389.60547943579195
1995, 165.23293644273843
1996, 228.1062550615809
1997, 297.99449618782705
1998, 349.63499462014664
1999, 380.7615704203702
2000, 404.7356576707645
2001, 427.2572186615704
2002, 449.0676468842565
2003, 470.8318291947633
2004, 492.0786646926357
2005, 513.8771958100747
2006, 534.2183013485371
2007, 554.4210653091536
2008, 573.6189973635868
2009, 592.6295068933428
2010, 612.142781650167
2011, 631.1812722673134
2012, 650.1953612930836
2013, 668.7056117617183
2014, 687.4483404452342
2015, 705.8254612688405
2016, 724.1569692554306
2017, 741.644698468415
